repeat,task,treatment,correct,correctLenient,tokens,latencyMs
1,qa_default_cursor_model,lattice,0,0,,
1,qa_default_cursor_model,standard,0,0,,
1,qa_cli_email_env,lattice,0,0,,
1,qa_cli_email_env,standard,0,0,,
1,qa_cli_default_nest,lattice,0,0,,
1,qa_cli_default_nest,standard,0,0,,
1,qa_openrouter_header,lattice,0,0,,
1,qa_openrouter_header,standard,0,0,,
1,qa_cli_auth_exit_code,lattice,0,0,,
1,qa_cli_auth_exit_code,standard,0,0,,
1,coding_add_top_p_flag,lattice,0,0,,
1,coding_add_top_p_flag,standard,0,0,,
1,reasoning_arithmetic,lattice,0,0,,
1,reasoning_arithmetic,standard,0,0,,
1,reasoning_remainder,lattice,0,0,,
1,reasoning_remainder,standard,0,0,,
1,reasoning_sequence,lattice,0,0,,
1,reasoning_sequence,standard,0,0,,
2,qa_default_cursor_model,standard,0,0,,
2,qa_default_cursor_model,lattice,0,0,,
2,qa_cli_email_env,standard,0,0,,
2,qa_cli_email_env,lattice,0,0,,
2,qa_cli_default_nest,standard,0,0,,
2,qa_cli_default_nest,lattice,0,0,,
2,qa_openrouter_header,standard,0,0,,
2,qa_openrouter_header,lattice,0,0,,
2,qa_cli_auth_exit_code,standard,0,0,,
2,qa_cli_auth_exit_code,lattice,0,0,,
2,coding_add_top_p_flag,standard,0,0,,
2,coding_add_top_p_flag,lattice,0,0,,
2,reasoning_arithmetic,standard,0,0,,
2,reasoning_arithmetic,lattice,0,0,,
2,reasoning_remainder,standard,0,0,,
2,reasoning_remainder,lattice,0,0,,
2,reasoning_sequence,standard,0,0,,
2,reasoning_sequence,lattice,0,0,,
