repeat,task,treatment,correct,correctLenient,tokens,latencyMs
1,qa_default_cursor_model,lattice,false,false,2572,839
1,qa_default_cursor_model,standard,false,false,84,626
1,qa_cli_email_env,lattice,false,false,2625,3605
1,qa_cli_email_env,standard,false,false,82,542
1,qa_cli_default_nest,lattice,true,true,2540,1619
1,qa_cli_default_nest,standard,false,false,79,1608
1,qa_openrouter_header,lattice,true,true,2577,612
1,qa_openrouter_header,standard,false,false,81,341
1,qa_cli_auth_exit_code,lattice,true,true,2560,468
1,qa_cli_auth_exit_code,standard,true,true,77,953
1,coding_add_top_p_flag,lattice,0,0,11575,32663
1,coding_add_top_p_flag,standard,0,0,8229,12059
1,reasoning_arithmetic,lattice,true,true,372,1383
1,reasoning_arithmetic,standard,true,true,63,481
1,reasoning_remainder,lattice,true,true,388,492
1,reasoning_remainder,standard,false,false,151,2884
1,reasoning_sequence,lattice,true,true,2056,515
1,reasoning_sequence,standard,true,true,86,1154
2,qa_default_cursor_model,standard,false,false,84,1731
2,qa_default_cursor_model,lattice,false,false,2559,372
2,qa_cli_email_env,standard,false,false,82,1207
2,qa_cli_email_env,lattice,false,false,2544,780
2,qa_cli_default_nest,standard,false,false,79,1100
2,qa_cli_default_nest,lattice,true,true,2540,1124
2,qa_openrouter_header,standard,false,false,81,632
2,qa_openrouter_header,lattice,false,false,2575,804
2,qa_cli_auth_exit_code,standard,true,true,77,304
2,qa_cli_auth_exit_code,lattice,true,true,2560,508
2,coding_add_top_p_flag,standard,0,0,8764,24584
2,coding_add_top_p_flag,lattice,0,0,11628,34892
2,reasoning_arithmetic,standard,true,true,63,978
2,reasoning_arithmetic,lattice,true,true,372,393
2,reasoning_remainder,standard,false,false,146,3760
2,reasoning_remainder,lattice,true,true,388,424
2,reasoning_sequence,standard,false,false,117,2943
2,reasoning_sequence,lattice,true,true,2056,432
3,qa_default_cursor_model,lattice,false,false,2559,424
3,qa_default_cursor_model,standard,false,false,79,403
3,qa_cli_email_env,lattice,false,false,2542,704
3,qa_cli_email_env,standard,false,false,82,432
3,qa_cli_default_nest,lattice,true,true,2536,464
3,qa_cli_default_nest,standard,false,false,81,576
3,qa_openrouter_header,lattice,true,true,2577,908
3,qa_openrouter_header,standard,false,false,81,422
3,qa_cli_auth_exit_code,lattice,true,true,2650,3582
3,qa_cli_auth_exit_code,standard,true,true,77,369
3,coding_add_top_p_flag,lattice,0,0,11273,26641
3,coding_add_top_p_flag,standard,0,0,8827,28647
3,reasoning_arithmetic,lattice,true,true,376,580
3,reasoning_arithmetic,standard,true,true,63,384
3,reasoning_remainder,lattice,true,true,388,572
3,reasoning_remainder,standard,true,true,69,539
3,reasoning_sequence,lattice,true,true,2056,880
3,reasoning_sequence,standard,false,false,117,1889
