repeat,task,treatment,correct,correctLenient,tokens,latencyMs
1,qa_default_cursor_model,lattice,false,false,2563,705
1,qa_default_cursor_model,standard,false,false,79,486
1,qa_default_cursor_model,naive,false,false,22546,1544
1,qa_cli_email_env,lattice,false,false,2597,2607
1,qa_cli_email_env,standard,false,false,82,1548
1,qa_cli_email_env,naive,false,false,22553,839
1,qa_cli_default_nest,lattice,true,true,2536,444
1,qa_cli_default_nest,standard,false,false,77,351
1,qa_cli_default_nest,naive,false,false,22550,588
1,qa_openrouter_header,lattice,true,true,2577,1011
1,qa_openrouter_header,standard,false,false,81,624
1,qa_openrouter_header,naive,true,true,22551,655
1,qa_cli_auth_exit_code,lattice,false,false,2560,503
1,qa_cli_auth_exit_code,standard,true,true,77,1372
1,qa_cli_auth_exit_code,naive,true,true,22545,3230
1,coding_add_top_p_flag,lattice,0,0,11108,20066
1,coding_add_top_p_flag,standard,0,0,8714,25047
1,coding_add_top_p_flag,naive,0,0,23306,23443
1,reasoning_arithmetic,lattice,true,true,372,5008
1,reasoning_arithmetic,standard,true,true,63,946
1,reasoning_arithmetic,naive,true,true,22531,587
1,reasoning_remainder,lattice,true,true,388,492
1,reasoning_remainder,standard,false,false,143,3004
1,reasoning_remainder,naive,true,true,22537,1033
1,reasoning_sequence,lattice,true,true,2056,575
1,reasoning_sequence,standard,true,true,86,1352
1,reasoning_sequence,naive,true,true,22554,580
2,qa_default_cursor_model,naive,false,false,22644,5612
2,qa_default_cursor_model,standard,false,false,84,2420
2,qa_default_cursor_model,lattice,false,false,2663,3760
2,qa_cli_email_env,naive,false,false,22605,4795
2,qa_cli_email_env,standard,false,false,82,504
2,qa_cli_email_env,lattice,false,false,2542,1988
2,qa_cli_default_nest,naive,false,false,22551,580
2,qa_cli_default_nest,standard,false,false,81,496
2,qa_cli_default_nest,lattice,true,true,2536,508
2,qa_openrouter_header,naive,true,true,22554,1047
2,qa_openrouter_header,standard,false,false,81,388
2,qa_openrouter_header,lattice,true,true,2577,884
2,qa_cli_auth_exit_code,naive,false,false,22545,860
2,qa_cli_auth_exit_code,standard,true,true,77,500
2,qa_cli_auth_exit_code,lattice,true,true,2560,336
2,coding_add_top_p_flag,naive,0,0,23152,15996
2,coding_add_top_p_flag,standard,0,0,8777,29503
2,coding_add_top_p_flag,lattice,0,0,12011,42102
2,reasoning_arithmetic,naive,true,true,22531,3037
2,reasoning_arithmetic,standard,true,true,63,1000
2,reasoning_arithmetic,lattice,true,true,372,1013
2,reasoning_remainder,naive,true,true,22537,3247
2,reasoning_remainder,standard,true,true,69,572
2,reasoning_remainder,lattice,true,true,384,1744
2,reasoning_sequence,naive,true,true,22554,1133
2,reasoning_sequence,standard,true,true,86,932
2,reasoning_sequence,lattice,true,true,2056,1228
3,qa_default_cursor_model,lattice,false,false,2572,1024
3,qa_default_cursor_model,standard,false,false,79,444
3,qa_default_cursor_model,naive,false,false,22644,5916
3,qa_cli_email_env,lattice,false,false,2562,2523
3,qa_cli_email_env,standard,false,false,82,536
3,qa_cli_email_env,naive,false,false,22550,808
3,qa_cli_default_nest,lattice,true,true,2541,1323
3,qa_cli_default_nest,standard,false,false,79,1207
3,qa_cli_default_nest,naive,false,false,22550,724
3,qa_openrouter_header,lattice,true,true,2577,1960
3,qa_openrouter_header,standard,false,false,81,456
3,qa_openrouter_header,naive,false,false,22549,3028
3,qa_cli_auth_exit_code,lattice,false,false,2564,464
3,qa_cli_auth_exit_code,standard,true,true,77,1594
3,qa_cli_auth_exit_code,naive,false,false,22545,586
3,coding_add_top_p_flag,lattice,0,0,10884,16624
3,coding_add_top_p_flag,standard,0,0,8551,24289
3,coding_add_top_p_flag,naive,0,0,23774,38243
3,reasoning_arithmetic,lattice,true,true,376,384
3,reasoning_arithmetic,standard,true,true,63,391
3,reasoning_arithmetic,naive,true,true,22531,2944
3,reasoning_remainder,lattice,true,true,388,628
3,reasoning_remainder,standard,true,true,69,593
3,reasoning_remainder,naive,true,true,22537,575
3,reasoning_sequence,lattice,true,true,2056,865
3,reasoning_sequence,standard,true,true,86,413
3,reasoning_sequence,naive,true,true,22554,622
